Borough,Grade,Year,ECON,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BRONX,7,2013,Econ Disadv,14468,281.6720276,8834,61.05888748,4057,28.04119492,1325,9.15814209,252,1.741774917,1577,10.89991665,Econ Disadv_Bronx_2013-2014
BRONX,8,2014,Econ Disadv,12770,281.1311646,6770,53.01487732,4452,34.86296082,1254,9.819890022,294,2.302270889,1548,12.12216091,Econ Disadv_Bronx_2013-2014
BRONX,7,2013,Not Econ Disadv,1100,292.0963745,527,47.90909195,325,29.54545403,188,17.09090996,60,5.454545498,248,22.54545403,Not Econ Disadv_Bronx_2013-2014
BRONX,8,2014,Not Econ Disadv,915,288.244812,401,43.82513809,356,38.90710449,115,12.56830597,43,4.699453354,158,17.26775932,Not Econ Disadv_Bronx_2013-2014
BROOKLYN,7,2013,Econ Disadv,17902,292.3651123,8829,49.31851196,5367,29.97989082,2490,13.90905952,1216,6.792537212,3706,20.70159721,Econ Disadv_Brooklyn_2013-2014
BROOKLYN,8,2014,Econ Disadv,15093,292.485321,6277,41.5888176,5632,37.31531143,2147,14.22513771,1037,6.870734692,3184,21.09587288,Econ Disadv_Brooklyn_2013-2014
BROOKLYN,7,2013,Not Econ Disadv,3301,313.0851135,902,27.32505226,917,27.77946091,834,25.26507187,648,19.63041496,1482,44.89548492,Not Econ Disadv_Brooklyn_2013-2014
BROOKLYN,8,2014,Not Econ Disadv,2659,306.3136597,728,27.37871361,988,37.15682602,574,21.58706284,369,13.87739754,943,35.46445847,Not Econ Disadv_Brooklyn_2013-2014
MANHATTAN,7,2013,Econ Disadv,6341,291.2979126,3191,50.32329178,1932,30.46837997,850,13.40482616,368,5.803501129,1218,19.20832634,Econ Disadv_Manhattan_2013-2014
MANHATTAN,8,2014,Econ Disadv,5949,291.9947815,2464,41.41872406,2220,37.31719589,911,15.31349754,354,5.95058012,1265,21.26407814,Econ Disadv_Manhattan_2013-2014
MANHATTAN,7,2013,Not Econ Disadv,2326,323.9454041,422,18.14273453,540,23.21582031,676,29.06276894,688,29.57867622,1364,58.64144516,Not Econ Disadv_Manhattan_2013-2014
MANHATTAN,8,2014,Not Econ Disadv,1535,312.0931702,351,22.86644936,512,33.35504913,402,26.18892479,270,17.58957672,672,43.77850342,Not Econ Disadv_Manhattan_2013-2014
QUEENS,7,2013,Econ Disadv,16613,301.6384888,6224,37.46463776,5555,33.43766785,3316,19.96027184,1518,9.137422562,4834,29.0976944,Econ Disadv_Queens_2013-2014
QUEENS,8,2014,Econ Disadv,13548,299.749176,4259,31.43637466,5632,41.57071304,2606,19.23531151,1051,7.757602692,3657,26.9929142,Econ Disadv_Queens_2013-2014
QUEENS,7,2013,Not Econ Disadv,3938,316.5738831,910,23.10817719,1133,28.77095032,1088,27.62823677,807,20.49263573,1895,48.1208725,Not Econ Disadv_Queens_2013-2014
QUEENS,8,2014,Not Econ Disadv,2884,308.4465942,708,24.5492363,1088,37.72537994,712,24.68793297,376,13.03744793,1088,37.72537994,Not Econ Disadv_Queens_2013-2014
STATEN ISLAND,7,2013,Econ Disadv,2518,292.3506775,1145,45.47259903,886,35.18665695,373,14.813344,114,4.527402878,487,19.34074593,Econ Disadv_Staten-Island_2013-2014
STATEN ISLAND,8,2014,Econ Disadv,2268,293.5,865,38.139328,906,39.94709015,395,17.41622543,102,4.497354507,497,21.91357994,Econ Disadv_Staten-Island_2013-2014
STATEN ISLAND,7,2013,Not Econ Disadv,1778,313.7969666,370,20.80989838,652,36.67041779,559,31.43981934,197,11.07986546,756,42.51968384,Not Econ Disadv_Staten-Island_2013-2014
STATEN ISLAND,8,2014,Not Econ Disadv,1489,313.0026855,215,14.43922138,666,44.72800446,464,31.16185379,144,9.670920372,608,40.83277512,Not Econ Disadv_Staten-Island_2013-2014
BRONX,6,2013,Econ Disadv,14392,283.386261,6846,47.56809235,5505,38.2504158,1419,9.859643936,622,4.321845531,2041,14.18148994,Econ Disadv_Bronx_2013-2015
BRONX,7,2014,Econ Disadv,13789,286.1717224,7738,56.11719513,4211,30.53883553,1494,10.83472347,346,2.509246588,1840,13.3439703,Econ Disadv_Bronx_2013-2015
BRONX,8,2015,Econ Disadv,11315,280.8955383,6169,54.52054977,3780,33.40698242,980,8.661068916,386,3.411400795,1366,12.07246971,Econ Disadv_Bronx_2013-2015
BRONX,6,2013,Not Econ Disadv,973,294.7389526,338,34.73792267,367,37.71839523,163,16.75231171,105,10.79136658,268,27.54368019,Not Econ Disadv_Bronx_2013-2015
BRONX,7,2014,Not Econ Disadv,1047,297.1031494,449,42.88442993,314,29.990448,218,20.82139397,66,6.303724766,284,27.12512016,Not Econ Disadv_Bronx_2013-2015
BRONX,8,2015,Not Econ Disadv,2215,287.0871277,1054,47.58465195,791,35.71105957,252,11.37697506,118,5.3273139,370,16.70428848,Not Econ Disadv_Bronx_2013-2015
BROOKLYN,6,2013,Econ Disadv,17446,293.9021606,6447,36.95402908,6739,38.62776566,2436,13.96308613,1824,10.45511818,4260,24.41820526,Econ Disadv_Brooklyn_2013-2015
BROOKLYN,7,2014,Econ Disadv,16671,297.6009216,7175,43.03881073,5177,31.05392647,2882,17.2875061,1437,8.619758606,4319,25.90726471,Econ Disadv_Brooklyn_2013-2015
BROOKLYN,8,2015,Econ Disadv,13058,294.1802673,5401,41.36161804,4733,36.24597931,1747,13.37877178,1177,9.013631821,2924,22.39240265,Econ Disadv_Brooklyn_2013-2015
BROOKLYN,6,2013,Not Econ Disadv,3132,317.2726746,554,17.68837738,933,29.78927231,701,22.38186455,944,30.14048576,1645,52.52235031,Not Econ Disadv_Brooklyn_2013-2015
BROOKLYN,7,2014,Not Econ Disadv,3293,318.2772522,756,22.95778847,891,27.05739403,889,26.99666023,757,22.98815727,1646,49.9848175,Not Econ Disadv_Brooklyn_2013-2015
BROOKLYN,8,2015,Not Econ Disadv,4060,302.4391479,1302,32.06896591,1476,36.35467911,758,18.66995049,524,12.90640354,1282,31.57635498,Not Econ Disadv_Brooklyn_2013-2015
MANHATTAN,6,2013,Econ Disadv,5993,292.4615479,2263,37.7607193,2376,39.64625549,782,13.04855633,572,9.54446888,1354,22.59302521,Econ Disadv_Manhattan_2013-2015
MANHATTAN,7,2014,Econ Disadv,6019,295.5919495,2682,44.55889511,1914,31.79930305,978,16.2485466,445,7.393254757,1423,23.64180183,Econ Disadv_Manhattan_2013-2015
MANHATTAN,8,2015,Econ Disadv,4814,289.9553528,2138,44.41213226,1755,36.45616913,584,12.13128376,337,7.000415325,921,19.13169861,Econ Disadv_Manhattan_2013-2015
MANHATTAN,6,2013,Not Econ Disadv,2288,326.379364,258,11.27622414,543,23.73251724,597,26.09265709,890,38.89860153,1487,64.99125671,Not Econ Disadv_Manhattan_2013-2015
MANHATTAN,7,2014,Not Econ Disadv,2279,329.3887634,332,14.56779289,476,20.88635445,686,30.10092163,785,34.44493103,1471,64.54585266,Not Econ Disadv_Manhattan_2013-2015
MANHATTAN,8,2015,Not Econ Disadv,1846,305.7156067,547,29.63163567,619,33.53195953,423,22.91440964,257,13.92199326,680,36.83640289,Not Econ Disadv_Manhattan_2013-2015
QUEENS,6,2013,Econ Disadv,16600,302.5703125,4464,26.89156532,6758,40.71084213,2907,17.51204872,2471,14.88554192,5378,32.39759064,Econ Disadv_Queens_2013-2015
QUEENS,7,2014,Econ Disadv,16430,305.866394,5355,32.59281921,5425,33.01886749,3879,23.60925102,1771,10.77906227,5650,34.38831329,Econ Disadv_Queens_2013-2015
QUEENS,8,2015,Econ Disadv,11447,299.6639404,3779,33.01301575,4657,40.68314743,1984,17.33205223,1027,8.971782684,3011,26.30383492,Econ Disadv_Queens_2013-2015
QUEENS,6,2013,Not Econ Disadv,3780,320.4820251,578,15.29100513,1135,30.02645493,838,22.16931152,1229,32.51322937,2067,54.68254089,Not Econ Disadv_Queens_2013-2015
QUEENS,7,2014,Not Econ Disadv,3856,319.73703,839,21.75829887,992,25.72614098,1082,28.06016541,943,24.45539474,2025,52.51556015,Not Econ Disadv_Queens_2013-2015
QUEENS,8,2015,Not Econ Disadv,4321,304.4952698,1259,29.13677406,1664,38.50960541,880,20.3656559,518,11.98796558,1398,32.35362244,Not Econ Disadv_Queens_2013-2015
STATEN ISLAND,6,2013,Econ Disadv,2466,291.0733948,961,38.96999359,972,39.41605759,331,13.42254639,202,8.191403389,533,21.61394882,Econ Disadv_Staten-Island_2013-2015
STATEN ISLAND,7,2014,Econ Disadv,2331,297.6469421,968,41.52724075,763,32.73273087,433,18.57571793,167,7.164307117,600,25.74002647,Econ Disadv_Staten-Island_2013-2015
STATEN ISLAND,8,2015,Econ Disadv,1967,292.5775146,806,40.97610474,752,38.23080826,311,15.81087971,98,4.982206345,409,20.7930851,Econ Disadv_Staten-Island_2013-2015
STATEN ISLAND,6,2013,Not Econ Disadv,1651,314.1029663,246,14.90006065,632,38.27983093,399,24.16717148,374,22.65293694,773,46.82011032,Not Econ Disadv_Staten-Island_2013-2015
STATEN ISLAND,7,2014,Not Econ Disadv,1712,320.3808289,287,16.76401901,544,31.77570152,529,30.89953232,352,20.56074715,881,51.46028137,Not Econ Disadv_Staten-Island_2013-2015
STATEN ISLAND,8,2015,Not Econ Disadv,1281,306.5089722,297,23.18501091,567,44.26229477,296,23.10694695,121,9.445745468,417,32.55269241,Not Econ Disadv_Staten-Island_2013-2015
BRONX,6,2014,Econ Disadv,13777,284.8126526,6434,46.7010231,4865,35.31247711,1579,11.4611311,899,6.525368214,2478,17.98649979,Econ Disadv_Bronx_2014-2016
BRONX,7,2015,Econ Disadv,12173,285.8588562,6546,53.77474594,3784,31.08518791,1460,11.99375629,383,3.146307468,1843,15.14006424,Econ Disadv_Bronx_2014-2016
BRONX,8,2016,Econ Disadv,10817,279.6792908,5890,54.45132828,3469,32.06988907,1020,9.429601669,438,4.049181938,1458,13.47878361,Econ Disadv_Bronx_2014-2016
BRONX,6,2014,Not Econ Disadv,781,298.8809204,253,32.39436722,264,33.8028183,128,16.38924408,136,17.41357231,264,33.8028183,Not Econ Disadv_Bronx_2014-2016
BRONX,7,2015,Not Econ Disadv,2268,295.441803,939,41.40211487,763,33.6419754,391,17.23985863,175,7.716049194,566,24.95590782,Not Econ Disadv_Bronx_2014-2016
BRONX,8,2016,Not Econ Disadv,2228,288.3200073,996,44.70376968,777,34.87432861,308,13.82405758,147,6.597845554,455,20.42190361,Not Econ Disadv_Bronx_2014-2016
BROOKLYN,6,2014,Econ Disadv,17149,297.50177,5847,34.09528351,6220,36.27033615,2680,15.62773323,2402,14.00664806,5082,29.63438034,Econ Disadv_Brooklyn_2014-2016
BROOKLYN,7,2015,Econ Disadv,14678,299.6680603,5679,38.69055557,4847,33.02220917,2585,17.61139107,1567,10.67584133,4152,28.28723335,Econ Disadv_Brooklyn_2014-2016
BROOKLYN,8,2016,Econ Disadv,12569,295.6654358,4914,39.09618759,4335,34.48961639,1851,14.72670841,1469,11.68748474,3320,26.41419411,Econ Disadv_Brooklyn_2014-2016
BROOKLYN,6,2014,Not Econ Disadv,2627,322.7746582,409,15.56908989,670,25.50437737,560,21.31709099,988,37.60943985,1548,58.92653275,Not Econ Disadv_Brooklyn_2014-2016
BROOKLYN,7,2015,Not Econ Disadv,4741,316.1484985,1189,25.07909775,1290,27.20944977,1169,24.65724564,1093,23.05420876,2262,47.71145248,Not Econ Disadv_Brooklyn_2014-2016
BROOKLYN,8,2016,Not Econ Disadv,4002,308.604187,1129,28.21089363,1307,32.65867233,749,18.71564293,817,20.41479301,1566,39.13043594,Not Econ Disadv_Brooklyn_2014-2016
MANHATTAN,6,2014,Econ Disadv,5826,294.3752136,2200,37.7617569,2002,34.36320114,884,15.17336082,740,12.70168209,1624,27.87504196,Econ Disadv_Manhattan_2014-2016
MANHATTAN,7,2015,Econ Disadv,5238,295.9436951,2244,42.84077835,1683,32.13058472,860,16.41847992,451,8.610157013,1311,25.02863693,Econ Disadv_Manhattan_2014-2016
MANHATTAN,8,2016,Econ Disadv,4472,286.5489807,2090,46.73524094,1522,34.03398895,592,13.23792458,268,5.992844582,860,19.23077011,Econ Disadv_Manhattan_2014-2016
MANHATTAN,6,2014,Not Econ Disadv,2300,331.7656555,255,11.08695698,445,19.347826,485,21.08695602,1115,48.47826004,1600,69.56521606,Not Econ Disadv_Manhattan_2014-2016
