Borough,Grade,Year,Ethnicity,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BRONX,8,2013,Asian,610,309,148,24.3,211,34.6,166,27.2,85,13.9,251,41.1,Asian_Bronx_2013
BRONX,7,2013,Asian,675,309,200,29.6,211,31.3,168,24.9,96,14.2,264,39.1,Asian_Bronx_2013-2014
BRONX,8,2014,Asian,498,301,169,33.9,169,33.9,100,20.1,60,12,160,32.1,Asian_Bronx_2013-2014
BRONX,6,2013,Asian,651,313,134,20.6,208,32,136,20.9,173,26.6,309,47.5,Asian_Bronx_2013-2015
BRONX,7,2014,Asian,662,313,174,26.3,191,28.9,181,27.3,116,17.5,297,44.9,Asian_Bronx_2013-2015
BRONX,8,2015,Asian,548,311,132,24.1,209,38.1,89,16.2,118,21.5,207,37.8,Asian_Bronx_2013-2015
BRONX,6,2014,Asian,622,317,109,17.5,181,29.1,150,24.1,182,29.3,332,53.4,Asian_Bronx_2014-2016
BRONX,7,2015,Asian,634,316,141,22.2,173,27.3,185,29.2,135,21.3,320,50.5,Asian_Bronx_2014-2016
BRONX,8,2016,Asian,509,307,136,26.7,180,35.4,108,21.2,85,16.7,193,37.9,Asian_Bronx_2014-2016
BRONX,6,2015,Asian,647,319,102,15.8,196,30.3,144,22.3,205,31.7,349,53.9,Asian_Bronx_2015-2017
BRONX,7,2016,Asian,664,318,153,23,160,24.1,190,28.6,161,24.2,351,52.9,Asian_Bronx_2015-2017
BRONX,8,2017,Asian,557,305,159,28.5,174,31.2,145,26,79,14.2,224,40.2,Asian_Bronx_2015-2017
BRONX,6,2016,Asian,649,316,111,17.1,203,31.3,146,22.5,189,29.1,335,51.6,Asian_Bronx_2016-2017
BRONX,7,2017,Asian,655,315,164,25,182,27.8,164,25,145,22.1,309,47.2,Asian_Bronx_2016-2017
BRONX,6,2017,Asian,706,313,148,21,197,27.9,152,21.5,209,29.6,361,51.1,Asian_Bronx_2017
BROOKLYN,8,2013,Asian,3216,327,391,12.2,876,27.2,994,30.9,955,29.7,1949,60.6,Asian_Brooklyn_2013
BROOKLYN,7,2013,Asian,3254,325,541,16.6,817,25.1,925,28.4,971,29.8,1896,58.3,Asian_Brooklyn_2013-2014
BROOKLYN,8,2014,Asian,2527,326,374,14.8,673,26.6,738,29.2,742,29.4,1480,58.6,Asian_Brooklyn_2013-2014
BROOKLYN,6,2013,Asian,3156,326,354,11.2,843,26.7,753,23.9,1206,38.2,1959,62.1,Asian_Brooklyn_2013-2015
BROOKLYN,7,2014,Asian,3168,331,391,12.3,688,21.7,999,31.5,1090,34.4,2089,65.9,Asian_Brooklyn_2013-2015
BROOKLYN,8,2015,Asian,2541,330,318,12.5,642,25.3,715,28.1,866,34.1,1581,62.2,Asian_Brooklyn_2013-2015
BROOKLYN,6,2014,Asian,3157,330,330,10.5,736,23.3,689,21.8,1402,44.4,2091,66.2,Asian_Brooklyn_2014-2016
BROOKLYN,7,2015,Asian,3206,333,357,11.1,686,21.4,956,29.8,1207,37.6,2163,67.5,Asian_Brooklyn_2014-2016
BROOKLYN,8,2016,Asian,2865,334,324,11.3,643,22.4,731,25.5,1167,40.7,1898,66.2,Asian_Brooklyn_2014-2016
BROOKLYN,6,2015,Asian,3263,331,331,10.1,746,22.9,740,22.7,1446,44.3,2186,67,Asian_Brooklyn_2015-2017
BROOKLYN,7,2016,Asian,3340,335,400,12,659,19.7,885,26.5,1396,41.8,2281,68.3,Asian_Brooklyn_2015-2017
BROOKLYN,8,2017,Asian,3114,330,385,12.4,756,24.3,872,28,1101,35.4,1973,63.4,Asian_Brooklyn_2015-2017
BROOKLYN,6,2016,Asian,3517,333,317,9,803,22.8,693,19.7,1704,48.5,2397,68.2,Asian_Brooklyn_2016-2017
BROOKLYN,7,2017,Asian,3593,336,396,11,689,19.2,1018,28.3,1490,41.5,2508,69.8,Asian_Brooklyn_2016-2017
BROOKLYN,6,2017,Asian,3609,330,448,12.4,810,22.4,710,19.7,1641,45.5,2351,65.1,Asian_Brooklyn_2017
MANHATTAN,8,2013,Asian,1049,335,72,6.9,236,22.5,349,33.3,392,37.4,741,70.6,Asian_Manhattan_2013
MANHATTAN,7,2013,Asian,1148,336,85,7.4,257,22.4,379,33,427,37.2,806,70.2,Asian_Manhattan_2013-2014
MANHATTAN,8,2014,Asian,827,336,56,6.8,192,23.2,285,34.5,294,35.6,579,70,Asian_Manhattan_2013-2014
MANHATTAN,6,2013,Asian,1057,336,58,5.5,227,21.5,266,25.2,506,47.9,772,73,Asian_Manhattan_2013-2015
MANHATTAN,7,2014,Asian,1058,337,86,8.1,187,17.7,360,34,425,40.2,785,74.2,Asian_Manhattan_2013-2015
MANHATTAN,8,2015,Asian,707,333,71,10,169,23.9,211,29.8,256,36.2,467,66.1,Asian_Manhattan_2013-2015
MANHATTAN,6,2014,Asian,1013,341,64,6.3,158,15.6,214,21.1,577,57,791,78.1,Asian_Manhattan_2014-2016
MANHATTAN,7,2015,Asian,997,341,69,6.9,150,15,302,30.3,476,47.7,778,78,Asian_Manhattan_2014-2016
MANHATTAN,8,2016,Asian,596,328,75,12.6,129,21.6,189,31.7,203,34.1,392,65.8,Asian_Manhattan_2014-2016
MANHATTAN,6,2015,Asian,1144,343,65,5.7,178,15.6,233,20.4,668,58.4,901,78.8,Asian_Manhattan_2015-2017
MANHATTAN,7,2016,Asian,1100,344,78,7.1,159,14.5,306,27.8,557,50.6,863,78.5,Asian_Manhattan_2015-2017
MANHATTAN,8,2017,Asian,640,330,72,11.3,150,23.4,200,31.3,218,34.1,418,65.3,Asian_Manhattan_2015-2017
MANHATTAN,6,2016,Asian,1109,346,63,5.7,155,14,211,19,680,61.3,891,80.3,Asian_Manhattan_2016-2017
MANHATTAN,7,2017,Asian,1074,345,56,5.2,134,12.5,326,30.4,558,52,884,82.3,Asian_Manhattan_2016-2017
MANHATTAN,6,2017,Asian,1132,343,73,6.4,184,16.3,223,19.7,652,57.6,875,77.3,Asian_Manhattan_2017
QUEENS,8,2013,Asian,5865,326,668,11.4,1764,30.1,1790,30.5,1643,28,3433,58.5,Asian_Queens_2013
QUEENS,7,2013,Asian,6189,324,973,15.7,1747,28.2,1904,30.8,1565,25.3,3469,56.1,Asian_Queens_2013-2014
QUEENS,8,2014,Asian,4218,320,641,15.2,1423,33.7,1264,30,890,21.1,2154,51.1,Asian_Queens_2013-2014
QUEENS,6,2013,Asian,5825,326,593,10.2,1696,29.1,1438,24.7,2098,36,3536,60.7,Asian_Queens_2013-2015
QUEENS,7,2014,Asian,5836,328,769,13.2,1428,24.5,1966,33.7,1673,28.7,3639,62.4,Asian_Queens_2013-2015
QUEENS,8,2015,Asian,3907,320,605,15.5,1389,35.6,1011,25.9,902,23.1,1913,49,Asian_Queens_2013-2015
QUEENS,6,2014,Asian,5835,331,540,9.3,1350,23.1,1348,23.1,2597,44.5,3945,67.6,Asian_Queens_2014-2016
QUEENS,7,2015,Asian,5801,332,673,11.6,1244,21.4,1837,31.7,2047,35.3,3884,67,Asian_Queens_2014-2016
QUEENS,8,2016,Asian,3979,322,624,15.7,1232,31,1021,25.7,1102,27.7,2123,53.4,Asian_Queens_2014-2016
