Borough,Grade,Year,Gender,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BRONX,7,2013,Female,7519,284.0019836,4394,58.43862152,2204,29.31240845,776,10.32052135,145,1.928447962,921,12.24896908,Female_Bronx_2013-2014
BRONX,8,2014,Female,6569,283.2050476,3342,50.87532425,2365,36.00243378,687,10.45821285,175,2.664027929,862,13.12224102,Female_Bronx_2013-2014
BRONX,7,2013,Male,8049,280.920105,4967,61.70952988,2178,27.05926132,737,9.156416893,167,2.074791908,904,11.2312088,Male_Bronx_2013-2014
BRONX,8,2014,Male,7116,280.1314087,3829,53.80831909,2443,34.33108521,682,9.584035873,162,2.27655983,844,11.8605957,Male_Bronx_2013-2014
BROOKLYN,7,2013,Female,10379,296.9019165,4556,43.89632797,3175,30.59061623,1716,16.53338432,932,8.979670525,2648,25.5130558,Female_Brooklyn_2013-2014
BROOKLYN,8,2014,Female,8514,296.659729,3165,37.17406464,3258,38.26638412,1373,16.12638092,718,8.433169365,2091,24.55954933,Female_Brooklyn_2013-2014
BROOKLYN,7,2013,Male,10824,294.3338013,5175,47.81042099,3109,28.72320747,1608,14.85587597,932,8.610495567,2540,23.46637154,Male_Brooklyn_2013-2014
BROOKLYN,8,2014,Male,9238,292.6183167,3840,41.56744003,3362,36.39315796,1348,14.59190273,688,7.447499275,2036,22.03940201,Male_Brooklyn_2013-2014
MANHATTAN,7,2013,Female,4157,301.12677,1664,40.02886581,1209,29.08347321,807,19.41303825,477,11.47462082,1284,30.88765907,Female_Manhattan_2013-2014
MANHATTAN,8,2014,Female,3583,298.2651367,1275,35.58470535,1309,36.53363037,688,19.20178604,311,8.679877281,999,27.88166428,Female_Manhattan_2013-2014
MANHATTAN,7,2013,Male,4510,299.0760498,1949,43.21507645,1263,28.00443459,719,15.94235039,579,12.83813763,1298,28.78048706,Male_Manhattan_2013-2014
MANHATTAN,8,2014,Male,3901,294.1440735,1540,39.47705841,1423,36.47782516,625,16.02153206,313,8.023583412,938,24.04511642,Male_Manhattan_2013-2014
QUEENS,7,2013,Female,9888,305.0368042,3340,33.7783165,3313,33.50526047,2159,21.83454704,1076,10.88187695,3235,32.71642303,Female_Queens_2013-2014
QUEENS,8,2014,Female,7713,302.115509,2256,29.24931908,3196,41.43653488,1581,20.49785995,680,8.81628418,2261,29.31414413,Female_Queens_2013-2014
QUEENS,7,2013,Male,10663,304.0029907,3794,35.58098221,3375,31.65150452,2245,21.05411148,1249,11.71340179,3494,32.76751328,Male_Queens_2013-2014
QUEENS,8,2014,Male,8719,300.5327454,2711,31.09301567,3524,40.41748047,1737,19.92200851,747,8.5674963,2484,28.48950577,Male_Queens_2013-2014
STATEN ISLAND,7,2013,Female,2069,301.353302,709,34.26776123,754,36.44272614,465,22.47462463,141,6.81488657,606,29.28951263,Female_Staten-Island_2013-2014
STATEN ISLAND,8,2014,Female,1789,301.4717712,516,28.84292984,727,40.6372261,437,24.42705345,109,6.092789173,546,30.51984406,Female_Staten-Island_2013-2014
STATEN ISLAND,7,2013,Male,2227,301.1091003,806,36.19218826,784,35.20431137,467,20.96991539,170,7.633587837,637,28.60350227,Male_Staten-Island_2013-2014
STATEN ISLAND,8,2014,Male,1968,301.0091553,564,28.65853691,845,42.93699265,422,21.44308853,137,6.961381912,559,28.40447235,Male_Staten-Island_2013-2014
BRONX,6,2013,Female,7429,285.6030273,3378,45.47045517,2893,38.94198227,782,10.52631569,376,5.061246395,1158,15.58756256,Female_Bronx_2013-2015
BRONX,7,2014,Female,7258,288.5407715,3891,53.60980988,2263,31.17938805,899,12.38633347,205,2.824469566,1104,15.21080208,Female_Bronx_2013-2015
BRONX,8,2015,Female,6539,284.3298645,3309,50.60406876,2342,35.81587219,622,9.51215744,266,4.067900181,888,13.5800581,Female_Bronx_2013-2015
BRONX,6,2013,Male,7936,282.7030029,3806,47.95866776,2979,37.53780365,800,10.08064556,351,4.422883034,1151,14.50352859,Male_Bronx_2013-2015
BRONX,7,2014,Male,7578,285.4130249,4296,56.69041824,2262,29.8495636,813,10.72842407,207,2.731591463,1020,13.46001625,Male_Bronx_2013-2015
BRONX,8,2015,Male,6991,279.6449585,3914,55.98626709,2229,31.8838501,610,8.725503922,238,3.404376984,848,12.12988091,Male_Bronx_2013-2015
BROOKLYN,6,2013,Female,9965,299.4703369,3160,31.710989,3838,38.51480103,1592,15.97591591,1375,13.79829407,2967,29.77420998,Female_Brooklyn_2013-2015
BROOKLYN,7,2014,Female,9748,302.7195435,3639,37.33073425,3108,31.88346291,1902,19.51169395,1099,11.27410793,3001,30.78580284,Female_Brooklyn_2013-2015
BROOKLYN,8,2015,Female,8179,298.7893372,2998,36.65484619,3055,37.35175323,1257,15.36862659,869,10.62477112,2126,25.99339867,Female_Brooklyn_2013-2015
BROOKLYN,6,2013,Male,10613,295.5708008,3841,36.19146347,3834,36.12550735,1545,14.55761814,1393,13.12541199,2938,27.68303108,Male_Brooklyn_2013-2015
BROOKLYN,7,2014,Male,10216,299.3815613,4292,42.01252747,2960,28.97415733,1869,18.29483223,1095,10.71848106,2964,29.01331329,Male_Brooklyn_2013-2015
BROOKLYN,8,2015,Male,8939,293.7141724,3705,41.44758987,3154,35.28358841,1248,13.96129322,832,9.307528496,2080,23.26882172,Male_Brooklyn_2013-2015
MANHATTAN,6,2013,Female,4124,302.2012634,1213,29.41319084,1515,36.73617935,698,16.92531586,698,16.92531586,1396,33.85063171,Female_Manhattan_2013-2015
