Borough,Grade,Year,SWD,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BRONX,7,2013,Not SWD,11997,288.9693298,6344,52.87988663,3904,32.54146957,1443,12.02800655,306,2.550637722,1749,14.57864475,Not SWD_Bronx_2013-2014
BRONX,8,2014,Not SWD,10474,288.0563354,4684,44.72026062,4177,39.87970352,1282,12.23983192,331,3.160206318,1613,15.40003777,Not SWD_Bronx_2013-2014
BRONX,7,2013,SWD,3571,260.3674011,3017,84.48613739,478,13.38560581,70,1.960235238,6,0.168020159,76,2.128255367,SWD_Bronx_2013-2014
BRONX,8,2014,SWD,3211,260.5689697,2487,77.45250702,631,19.65119934,87,2.709436417,6,0.1868576705,93,2.896293879,SWD_Bronx_2013-2014
BROOKLYN,7,2013,Not SWD,17429,301.9197998,6767,38.82609558,5635,32.33117294,3194,18.32577896,1833,10.51695442,5027,28.84273338,Not SWD_Brooklyn_2013-2014
BROOKLYN,8,2014,Not SWD,14247,301.2518311,4537,31.84530067,5754,40.38745117,2576,18.08099937,1380,9.686249733,3956,27.76725006,Not SWD_Brooklyn_2013-2014
BROOKLYN,7,2013,SWD,3774,266.3630066,2964,78.53736115,649,17.19660759,130,3.444621086,31,0.8214096427,161,4.266030788,SWD_Brooklyn_2013-2014
BROOKLYN,8,2014,SWD,3505,267.3420715,2468,70.41369629,866,24.70756149,145,4.136947155,26,0.7417974472,171,4.878744602,SWD_Brooklyn_2013-2014
MANHATTAN,7,2013,Not SWD,7049,306.8201294,2418,34.30273819,2151,30.51496696,1441,20.44261551,1039,14.73967934,2480,35.18229675,Not SWD_Manhattan_2013-2014
MANHATTAN,8,2014,Not SWD,5784,303.3547668,1704,29.46058083,2281,39.43637466,1201,20.76417732,598,10.33886623,1799,31.1030426,Not SWD_Manhattan_2013-2014
MANHATTAN,7,2013,SWD,1618,270.6069336,1195,73.85661316,321,19.83930779,85,5.253399372,17,1.050679803,102,6.304079056,SWD_Manhattan_2013-2014
MANHATTAN,8,2014,SWD,1700,271.4917603,1111,65.35294342,451,26.52941132,112,6.588235378,26,1.529411793,138,8.117647171,SWD_Manhattan_2013-2014
QUEENS,7,2013,Not SWD,17466,310.2155762,4913,28.12893677,6012,34.42116165,4254,24.35589218,2287,13.09401131,6541,37.44990158,Not SWD_Queens_2013-2014
QUEENS,8,2014,Not SWD,13535,307.063324,3195,23.60546684,5825,43.0365715,3116,23.02179527,1399,10.33616543,4515,33.35795975,Not SWD_Queens_2013-2014
QUEENS,7,2013,SWD,3085,272.1435852,2221,71.99351501,676,21.9124794,150,4.8622365,38,1.231766582,188,6.094003201,SWD_Queens_2013-2014
QUEENS,8,2014,SWD,2897,274.2354126,1772,61.16672516,895,30.89402771,202,6.972730637,28,0.9665170908,230,7.939247608,SWD_Queens_2013-2014
STATEN ISLAND,7,2013,Not SWD,3358,309.5619507,854,25.43180466,1311,39.04109573,891,26.53365135,302,8.993448257,1193,35.52709961,Not SWD_Staten-Island_2013-2014
STATEN ISLAND,8,2014,Not SWD,2877,309.2759705,551,19.15189362,1282,44.56030655,809,28.11956978,235,8.16823101,1044,36.28779984,Not SWD_Staten-Island_2013-2014
STATEN ISLAND,7,2013,SWD,938,271.3869934,661,70.46908569,227,24.2004261,41,4.371002197,9,0.9594882727,50,5.330490589,SWD_Staten-Island_2013-2014
STATEN ISLAND,8,2014,SWD,880,274.9227295,529,60.11363602,290,32.95454407,50,5.681818008,11,1.25,61,6.931818008,SWD_Staten-Island_2013-2014
BRONX,6,2013,Not SWD,11711,291.0837708,4482,38.27170944,5033,42.97668839,1491,12.73161983,705,6.019981384,2196,18.75160027,Not SWD_Bronx_2013-2015
BRONX,7,2014,Not SWD,11325,293.4885559,5303,46.8256073,3987,35.20529938,1630,14.39293575,405,3.576159,2035,17.96909523,Not SWD_Bronx_2013-2015
BRONX,8,2015,Not SWD,10221,289.1360779,4594,44.94667816,3981,38.94922256,1157,11.31983185,489,4.784267902,1646,16.10409927,Not SWD_Bronx_2013-2015
